Constructor,Race1_Fantasy_Points,Race2_Fantasy_Points,Race3_Fantasy_Points,Race4_Fantasy_Points,Race5_Fantasy_Points,Race6_Fantasy_Points,Race7_Fantasy_Points,Race8_Fantasy_Points,Race9_Fantasy_Points,Race10_Fantasy_Points,Race11_Fantasy_Points,Race12_Fantasy_Points,Race13_Fantasy_Points,Race14_Fantasy_Points,Race15_Fantasy_Points,Race16_Fantasy_Points,Race17_Fantasy_Points,Race18_Fantasy_Points,Race19_Fantasy_Points,Race20_Fantasy_Points,Race21_Fantasy_Points,Race22_Fantasy_Points,Race23_Fantasy_Points,ConTotal_Fantasy_Points
Mercedes,45,44,32,49,57,0,54,65,21,70,53,52,70,40,44,47,44,53,31,69,24,45,51,1060
Ferrari,31,59,3,63,56,0,37,38,46,73,25,32,38,34,67,70,65,18,35,63,28,78,48,1007
Red Bull,78,95,98,108,97,0,63,96,86,112,77,95,80,101,81,54,46,64,95,45,105,84,87,1847
Mclaren,-16,14,36,23,8,0,15,11,15,54,68,62,18,56,44,64,66,110,36,57,65,34,59,899
Aston Martin,56,19,54,55,42,0,15,40,46,63,22,21,24,67,17,4,7,47,0,-7,77,56,32,757
Alpine,8,28,11,25,28,0,42,33,24,21,-16,-35,43,66,-16,13,20,23,27,21,44,46,11,467
AlphaTauri,17,15,13,-23,17,0,1,20,6,20,5,8,18,36,-12,-4,15,-4,34,42,31,26,27,308
Williams,25,-16,-5,-15,1,0,1,5,-2,35,19,9,21,9,20,19,-35,-10,29,20,2,7,12,151
Alfa Romeo,31,7,26,-10,8,0,22,19,11,16,0,6,26,4,12,-8,-10,39,15,14,-31,12,13,222
Haas,12,13,18,17,15,0,7,17,4,14,-18,10,23,26,0,18,15,6,30,-7,-19,12,2,215
