DriverX,Race1drv,Race2drv,Race3drv,Race4drv,Race5drv,Race6drv,Race7drv,Race8drv,Race9drv,Race10drv,Race11drv,Race12drv,Race13drv,Race14drv,Race15drv,Race16drv,Race17drv,Race18drv,Race19drv,Race20drv,Race21drv,Race22drv,Race23drv,Race24drv,Race25drv,Total,,,DNFs,Race1drvdnf,Race2drvdnf,Race3drvdnf,Race4drvdnf,Race5drvdnf,Race6drvdnf,Race7drvdnf,Race8drvdnf,Race9drvdnf,Race10drvdnf,Race11drvdnf,Race12drvdnf,Race13drvdnf,Race14drvdnf,Race15drvdnf,Race16drvdnf,Race17drvdnf,Race18drvdnf,Race19drvdnf,Race20drvdnf,Race21drvdnf,Race22drvdnf,Race23drvdnf,Race24drvdnf,Race25drvdnf,,,Streaks,Race1drvstreak,Race2drvstreak,Race3drvstreak,Race4drvstreak,Race5drvstreak,Race6drvstreak,Race7drvstreak,Race8drvstreak,Race9drvstreak,Race10drvstreak,Race11drvstreak,Race12drvstreak,Race13drvstreak,Race14drvstreak,Race15drvstreak,Race16drvstreak,Race17drvstreak,Race18drvstreak,Race19drvstreak,Race20drvstreak,Race21drvstreak,Race22drvstreak,Race23drvstreak,Race24drvstreak,Race25drvstreak,,,Code
L.Hamilton,19,16,29,19,24,0,28,39,23,31,25,20,32,29,17,39,20,6,-4,41,13,26,14,0,0,506,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,,BAH1,BAH
G.Russell,16,18,-7,25,28,0,16,31,-12,34,18,27,28,6,17,-2,14,37,25,18,1,14,32,0,0,384,,,,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,SAU1,SAU
C.Leclerc,-11,27,-15,29,16,0,16,14,19,32,6,12,26,-7,24,22,22,22,-10,24,-3,41,29,0,0,335,,,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,,,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,,AUS1,AUS
C.Sainz,19,12,8,21,20,0,6,19,22,31,4,12,-8,31,38,45,18,-14,32,19,21,34,4,0,0,394,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,,AZE1,AZE
M.Verstappen,35,61,36,37,64,0,35,46,35,56,46,46,68,46,38,25,47,62,53,42,45,44,47,0,0,1014,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,,USA1,USA
S.Perez,28,36,52,61,28,0,10,27,28,51,26,39,7,30,30,16,-11,-3,32,-10,37,35,30,0,0,579,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,ITA1,ITA
L.Norris,-1,7,19,0,1,0,6,-2,2,29,38,29,15,25,9,30,31,41,46,48,57,-14,22,0,0,438,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,MON1,MON
O.Piastri,-16,2,16,8,5,0,4,3,3,20,20,18,-7,18,15,24,35,56,-20,14,3,39,19,0,0,279,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,SPA1,SPA
F.Alonso,39,23,23,27,25,0,27,14,27,28,12,7,2,62,5,-1,16,25,-9,-16,39,12,16,0,0,403,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,CAN1,CAN
L.Stroll,17,-14,21,18,12,0,-17,16,14,25,2,9,12,10,7,0,-14,17,10,8,28,39,11,0,0,231,,,,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,AUT1,AUT
P.Gasly,20,6,1,17,10,0,10,14,8,7,-3,-19,17,39,3,21,7,11,22,10,24,1,4,0,0,230,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,GBR1,GBR
E.Ocon,-17,7,2,7,8,0,32,9,11,9,-18,-19,23,26,-18,-13,10,2,-10,10,17,40,2,0,0,120,,,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,,,,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,HUN1,HUN
Y.Tsunoda,8,9,7,-13,16,0,-4,11,8,4,3,5,7,16,-20,-17,2,11,30,20,22,14,21,0,0,160,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,BEL1,BEL
D.Ricciardo,8,7,3,-15,0,0,0,6,-1,9,3,2,7,19,5,8,5,-16,1,12,10,6,11,0,0,90,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,,NET1,NET
A.Albon,13,-17,-15,2,-1,0,0,5,22,11,8,8,19,17,12,12,-15,23,14,13,-11,0,6,0,0,126,,,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,,ITA2,ITA
L.Sargeant,11,2,5,-20,1,0,0,1,-19,19,6,2,3,-18,3,6,-21,-34,16,6,12,-3,5,0,0,-17,,,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,SIN1,SIN
V.Bottas,13,-2,12,-1,2,0,10,2,6,5,-5,0,7,14,8,-18,-17,15,10,2,-19,-5,4,0,0,43,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,JAP1,JAP
G.Zhou,15,6,15,-10,1,0,11,16,4,10,6,-4,18,-9,3,11,8,19,2,2,-11,12,10,0,0,135,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,QAT1,QAT
K.Magnussen,8,9,2,16,6,0,1,9,0,13,-19,5,9,14,1,8,4,23,12,-16,-21,5,0,0,0,89,,,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,USA2,USA
N.Hulkenberg,-1,1,11,2,4,0,7,3,-1,-4,0,0,13,11,-2,0,10,-18,17,8,-1,2,-3,0,0,59,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,MEX1,MEX
